"","Case","Record type","Case stage","Case before","Filing party","Document date","Filing date","Filing number","Document reference","Original language","Number of pages","File size","Langue Document","Titre","URL"
"174","Ayyash et al. (STL-11-01)","Decision","Trial","Trial chamber","Trial Chamber","13-07-2018","12-03-2019","F3710","STL-11-01/T/TC/F3710/20190312/R322466-R322486/EN-FR/af","English","21","1.8 MB","FRANÇAIS","Reasons for the Trial Chamber's Decision Dismissing the Sabra Defence Application to Order Prosecution Disclosure of Documents Related to Mr Michael Taylor","https://www.stl-tsl.org/crs/index.php/assets/Uploads/20190312-F3710-PUBLIC-TC-Reasons-Dec-Dism-Sabra-App-Order-OTP-Disc-EN-FR-Web.pdf"
"175","Ayyash et al. (STL-11-01)","Other","Trial","Trial chamber","Trial Chamber","13-07-2018","13-07-2018","F3709","STL-11-01/T/TC/F3709/20180713/R311211-R311212/EN/dm","English","2","158.48 KB","ENGLISH","Return of Unopened Package Purportedly from Mr Jamil El-Sayyed","https://www.stl-tsl.org/crs/index.php/assets/Uploads/20180713-F3709-PUBLIC-TC-Return-Unop-Pack-El-Sayyed-EN-Web.pdf"
"176","Ayyash et al. (STL-11-01)","Other","Trial","Trial chamber","Trial Chamber","13-07-2018","02-08-2018","F3709","STL-11-01/T/TC/F3709/IM/20180802/R313276-R313277/EN/dm","English","2","219.78 KB","LSS MEMORANDUM","Return of Unopened Package Purportedly from Mr Jamil El-Sayyed","https://www.stl-tsl.org/crs/index.php/assets/Uploads/20180802-F3709-PUBLIC-LSS-Memo-EN-Web.pdf"
"177","Ayyash et al. (STL-11-01)","Other","Trial","Trial chamber","Trial Chamber","13-07-2018","02-08-2018","F3709","STL-11-01/T/TC/F3709/COR/20180802/R313278-R313280/EN-AR/dm","English","3","1.17 MB","عربي","Return of Unopened Package Purportedly from Mr Jamil El-Sayyed","https://www.stl-tsl.org/crs/index.php/assets/Uploads/20180802-F3709-PUBLIC-TC-COR-Return-Unop-Pack-El-Sayyed-EN-AR-Web.pdf"
"178","Ayyash et al. (STL-11-01)","Decision","Trial","Trial chamber","Trial Chamber","13-07-2018","13-07-2018","F3708","STL-11-01/T/TC/F3708/20180713/R311208-R311210/EN/dm","English","3","289.7 KB","ENGLISH","Decision Noting the Admission into Evidence of Witness PRH028's Statement under Rule 155 and Revoking a Summons for the Witness to Appear","https://www.stl-tsl.org/crs/index.php/assets/Uploads/20180713-F3708-PUBLIC-TC-Dec-Not-Admis-Evid-PRH028-Revok-Sum-EN-Web.pdf"
"179","Ayyash et al. (STL-11-01)","Decision","Trial","Trial chamber","Trial Chamber","13-07-2018","26-09-2018","F3708","STL-11-01/T/TC/F3708/20180926/R319754-R319757/EN-AR/af","English","4","1.57 MB","عربي","Decision Noting the Admission into Evidence of Witness PRH028's Statement under Rule 155 and Revoking a Summons for the Witness to Appear","https://www.stl-tsl.org/crs/index.php/assets/Uploads/20180926-F3708-PUBLIC-TC-Dec-Not-Admis-Evid-PRH028-Revok-Sum-EN-AR-Web.pdf"
"180","Ayyash et al. (STL-11-01)","Decision","Trial","Trial chamber","Trial Chamber","13-07-2018","18-04-2019","F3708","STL-11-01/T/TC/F3708/20190418/R322688-R322691/EN-FR/mb","English","4","321.59 KB","FRANÇAIS","Decision Noting the Admission into Evidence of Witness PRH028's Statement under Rule 155 and Revoking a Summons for the Witness to Appear","https://www.stl-tsl.org/crs/index.php/assets/Uploads/20190418-F3708-PUBLIC-TC-Dec-Not-Admis-Evid-PRH028-Revok-Sum-EN-FR-Web.pdf"
"181","Ayyash et al. (STL-11-01)","Decision","Trial","Trial chamber","Trial Chamber","13-07-2018","13-07-2018","F3707","STL-11-01/T/TC/F3707/20180713/R311200-R311207/EN/dm","English","8","663.52 KB","ENGLISH","Reasons for the Trial Chamber's Decision Dismissing the Sabra Defence Application to Receive 112 Witness Statements into Evidence under Rule 165","https://www.stl-tsl.org/crs/index.php/assets/Uploads/20180713-F3707-PUBLIC-TC-Reasons-Dec-Dism-Sabra-App-Rec-122-Stat-EN-Web.pdf"
"182","Ayyash et al. (STL-11-01)","Decision","Trial","Trial chamber","Trial Chamber","13-07-2018","08-11-2018","F3707","STL-11-01/T/TC/F3707/20181108/R320904-R320912/EN-AR/dm","English","9","3.61 MB","عربي","Reasons for the Trial Chamber's Decision Dismissing the Sabra Defence Application to Receive 112 Witness Statements into Evidence under Rule 165","https://www.stl-tsl.org/crs/index.php/assets/Uploads/20181108-F3707-PUBLIC-TC-Reasons-Dec-Dism-Sabra-App-Rec-122-Stat-EN-AR-Web.pdf"
"183","Ayyash et al. (STL-11-01)","Decision","Trial","Trial chamber","Trial Chamber","13-07-2018","18-04-2019","F3707","STL-11-01/T/TC/F3707/20190418/R322692-R322700/EN-FR/mb","English","9","783.49 KB","FRANÇAIS","Reasons for the Trial Chamber's Decision Dismissing the Sabra Defence Application to Receive 112 Witness Statements into Evidence under Rule 165","https://www.stl-tsl.org/crs/index.php/assets/Uploads/20190418-F3707-PUBLIC-TC-Reasons-Dec-Dism-Sabra-App-Rec-122-Stat-EN-FR-Web.pdf"
"184","Ayyash et al. (STL-11-01)","Reply / Sur Reply","Trial","Trial chamber","Counsel","05-07-2018","05-07-2018","F3705","STL-11-01/T/TC/F3705/20180705/R311131-R311135/EN/af","English","5","323.27 KB","ENGLISH","Further Reply to Prosecution Sur-Reply Regarding Sabra Defence Request for Admission of Three “Aides-Memoire”","https://www.stl-tsl.org/crs/index.php/assets/Uploads/20180705-F3705-PUBLIC-Sabra-Reply-to-OTP-Reply-Admis-3-Aide-Memoire-EN-Web.pdf"
"185","Ayyash et al. (STL-11-01)","Reply / Sur Reply","Trial","Trial chamber","Prosecution","04-07-2018","04-07-2018","F3704","STL-11-01/T/TC/F3704/20180704/R311082-R311087/EN/dm","English","6","426.73 KB","ENGLISH","Prosecution Sur-Reply regarding Sabra Defence Request for Admission of Three ‘Aides-Memoire’","https://www.stl-tsl.org/crs/index.php/assets/Uploads/20180704-F3704-PUBLIC-OTP-SurReply-re-Sabra-Req-Admis-3-Aide-Memoire-Filed-EN-Web.pdf"
"186","Ayyash et al. (STL-11-01)","Reply / Sur Reply","Trial","Trial chamber","Counsel","03-07-2018","03-07-2018","F3703","STL-11-01/T/TC/F3703/20180703/R311066-R311071/EN/dm","English","6","422.22 KB","ENGLISH","Reply to Prosecution Response to Sabra Defence Request for Admission of Three “Aides-Memoire”","https://www.stl-tsl.org/crs/index.php/assets/Uploads/20180703-F3703-PUBLIC-Sabra-Reply-OTP-Resp-Sabra-Req-Admis-EN-Web.pdf"
"187","Ayyash et al. (STL-11-01)","Response","Trial","Trial chamber","Prosecution","02-07-2018","02-07-2018","F3702","STL-11-01/T/TC/F3702/20180702/R310975-R310987/EN/af","English","13","996.67 KB","ENGLISH","Prosecution Response to Sabra Defence Request for Admission of Three ‘Aides-Memoire’","https://www.stl-tsl.org/crs/index.php/assets/Uploads/20180702-F3702-PUBLIC-OTP-Resp-Sabra-Req-Admis-3-Aide-Memoire-EN-Web.pdf"
"188","Ayyash et al. (STL-11-01)","Motion","Trial","Trial chamber","Counsel","29-06-2018","29-06-2018","F3659","STL-11-01/T/TC/F3659/COR/PRV/20180629/R310937-R310953/EN/af","English","17","1.36 MB","ENGLISH","Public Redacted and Corrected Version of the Rule 154 Motion for the Amendment of the Rule 128 Exhibit List and for the Admission of Documents Related to Mr Ahmed Abu Adass Filed on 11 May 2018","https://www.stl-tsl.org/crs/index.php/assets/Uploads/20180629-F3659-PUBLIC-PRV-COR-Oneissi-R154-Mot-Amend-R128-EN-Web.pdf"
"189","Ayyash et al. (STL-11-01)","Motion","Trial","Trial chamber","Counsel","29-06-2018","29-06-2018","F3659","STL-11-01/T/TC/F3659/A01/COR/PRV/20180629/R310954-R310968/EN/AR/af","English","15","1.73 MB","ANNEX A","Public Redacted and Corrected Version of the Rule 154 Motion for the Amendment of the Rule 128 Exhibit List and for the Admission of Documents Related to Mr Ahmed Abu Adass Filed on 11 May 2018","https://www.stl-tsl.org/crs/index.php/assets/Uploads/20180629-F3659-A01-PUBLIC-PRV-COR-Oneissi-R154-Mot-Amend-R128-EN-AR-Web.pdf"
"190","Ayyash et al. (STL-11-01)","Motion","Trial","Trial chamber","Counsel","29-06-2018","29-06-2018","F3659","STL-11-01/T/TC/F3659/PRV/20180629/R310900-R310916/EN/af","English","17","1.34 MB","ENGLISH","Public Redacted Version of the Rule 154 Motion for the Amendment of the Rule 128 Exhibit List and for the Admission of Documents Related to Mr Ahmed Abu Adass Filed on 11 May 2018","https://www.stl-tsl.org/crs/index.php/assets/Uploads/20180629-F3659-PUBLIC-PRV-Oneissi-R154-Mot-Amend-R128-EN-Web.pdf"
"191","Ayyash et al. (STL-11-01)","Motion","Trial","Trial chamber","Counsel","29-06-2018","29-06-2018","F3659","STL-11-01/T/TC/F3659/A01/PRV/20180629/R310917-310931/EN/AR/af","English","15","1.72 MB","ANNEX A","Public Redacted Version of the Rule 154 Motion for the Amendment of the Rule 128 Exhibit List and for the Admission of Documents Related to Mr Ahmed Abu Adass Filed on 11 May 2018","https://www.stl-tsl.org/crs/index.php/assets/Uploads/20180629-F3659-A01-PUBLIC-PRV-Oneissi-R154-Mot-Amend-R128-EN-AR-Web.pdf"
"192","Ayyash et al. (STL-11-01)","Other","Trial","Trial chamber","Defence Office","29-06-2018","29-06-2018","F3701","STL-11-01/T/TC/F3701/20180629/R310932-R310936/FR/af","Français","5","374.12 KB","FRANÇAIS","Withdrawal of the Assignment of Ms Dorothée Le Fraper du Hellen, Co-counsel of the Defence team for Mr Hassan Habib Merhi, pursuant to Article 34 (A) of the Directive on the Appointment and Assignment of Defence Counsel","https://www.stl-tsl.org/crs/index.php/assets/Uploads/20180629-F3701-PUBLIC-DO-Revoca-la-comm-Hellen-Def-Merhi-FR-Web.pdf"
"193","Ayyash et al. (STL-11-01)","Other","Trial","Trial chamber","Defence Office","29-06-2018","09-07-2018","F3701","STL-11-01/T/TC/F3701/20180710/R311184-R311188/FR-EN/dm","Français","5","282.36 KB","ENGLISH","Withdrawal of the Assignment of Ms Dorothée Le Fraper du Hellen, Co-counsel of the Defence team for Mr Hassan Habib Merhi, pursuant to Article 34 (A) of the Directive on the Appointment and Assignment of Defence Counsel","https://www.stl-tsl.org/crs/index.php/assets/Uploads/20180710-F3701-PUBLIC-DO-Revoca-la-comm-Hellen-Def-Merhi-FR-EN-Web.pdf"
"194","Ayyash et al. (STL-11-01)","Decision Delivered in Court","Trial","Trial chamber","Trial Chamber","28-06-2018",NA,NA,NA,"English","1","40.04 KB","ENGLISH","Decision Denying Sabra Defence Motion for the Admission of 112 Witness Statements under Rule 165","https://www.stl-tsl.org/crs/index.php/assets/Uploads/20180628-Decision-Denying-Sabra-Defence-Motion-for-Admission-Witness-Statements-under-Rule-165-p40-line20-EN.pdf"
"195","Ayyash et al. (STL-11-01)","Decision Delivered in Court","Trial","Trial chamber","Trial Chamber","28-06-2018",NA,NA,NA,"English","1","166.86 KB","FRANÇAIS","Decision Denying Sabra Defence Motion for the Admission of 112 Witness Statements under Rule 165","https://www.stl-tsl.org/crs/index.php/assets/Uploads/20180628-Decision-Denying-Sabra-Defence-Motion-for-Admission-Witness-Statements-under-Rule-165-p41-line18-FR.pdf"
"196","Ayyash et al. (STL-11-01)","Decision Delivered in Court","Trial","Trial chamber","Trial Chamber","28-06-2018",NA,NA,NA,"English","1","372.82 KB","عربي","Decision Denying Sabra Defence Motion for the Admission of 112 Witness Statements under Rule 165","https://www.stl-tsl.org/crs/index.php/assets/Uploads/20180628-Decision-Denying-Sabra-Defence-Motion-for-Admission-Witness-Statements-under-Rule-165-p24-line9-AR.pdf"
"197","Ayyash et al. (STL-11-01)","Decision Delivered in Court","Trial","Trial chamber","Trial Chamber","28-06-2018",NA,NA,NA,"English","2","42.73 KB","ENGLISH","Decision Dismissing Sabra Defence Application for Disclosure of Material Related to Mr Michael Taylor (Witness CH-001)","https://www.stl-tsl.org/crs/index.php/assets/Uploads/20180628-Decision-Dismissing-Sabra-Defence-Application-Disclosure-Material-Related-Michael-Taylor-p40-line1-EN.pdf"
"198","Ayyash et al. (STL-11-01)","Decision Delivered in Court","Trial","Trial chamber","Trial Chamber","28-06-2018",NA,NA,NA,"English","2","169.77 KB","FRANÇAIS","Decision Dismissing Sabra Defence Application for Disclosure of Material Related to Mr Michael Taylor (Witness CH-001)","https://www.stl-tsl.org/crs/index.php/assets/Uploads/20180628-Decision-Dismissing-Sabra-Defence-Application-Disclosure-Material-Related-Michael-Taylor-p40-line24-FR.pdf"
"199","Ayyash et al. (STL-11-01)","Decision Delivered in Court","Trial","Trial chamber","Trial Chamber","28-06-2018",NA,NA,NA,"English","2","378.91 KB","عربي","Decision Dismissing Sabra Defence Application for Disclosure of Material Related to Mr Michael Taylor (Witness CH-001)","https://www.stl-tsl.org/crs/index.php/assets/Uploads/20180628-Decision-Dismissing-Sabra-Defence-Application-Disclosure-Material-Related-Michael-Taylor-p23-line22-AR.pdf"
"200","Ayyash et al. (STL-11-01)","Order","Trial","Trial chamber","Trial Chamber","27-06-2018","27-06-2018","F3699","STL-11-01/T/TC/F3699/20180627/R310814-R310815/EN/af","English","2","307.69 KB","ENGLISH","Order to Redact the Public Transcript and or the Public Broadcast of a Hearing Held on 27 June 2018","https://www.stl-tsl.org/crs/index.php/assets/Uploads/20180627-F3699-PUBLIC-TC-Order-Redact-Trans-27-June-2018-EN-Web.pdf"
"201","Ayyash et al. (STL-11-01)","Corrigendum","Trial","Trial chamber","Counsel","26-06-2018","26-06-2018","F3659","STL-11-01/T/TC/F3659/CRG/20180626/R310766-R310768/EN/af","English","3","176.27 KB","ENGLISH","Corrigendum to the Rule 154 Motion for the Amendment of the Rule 128 Exhibit List and for the Admission of Documents Related to Mr Ahmed Abu Adass Filed on 11 May 2018","https://www.stl-tsl.org/crs/index.php/assets/Uploads/20180626-F3659-PUBLIC-CRG-Oneissi-R154-Mot-Amend-R128-EN-Web.pdf"
"202","Ayyash et al. (STL-11-01)","Submission","Trial","Trial chamber","Counsel","26-06-2018","26-06-2018","F3698","STL-11-01/T/TC/F3698/20180626/R310801-R310802/EN/af","English","2","148.4 KB","ENGLISH","Defence for Hussein Hassan Oneissi Submission of Third Updated Exhibit List","https://www.stl-tsl.org/crs/index.php/assets/Uploads/20180626-F3698-PUBLIC-Oneissi-Subm-Third-Updated-Exhibit-List-EN-Web.pdf"
"203","Ayyash et al. (STL-11-01)","Decision","Trial","Trial chamber","Trial Chamber","22-06-2018","22-06-2018","F3697","STL-11-01/T/TC/F3697/20180622/R310747-R310765/EN/af","English","19","1.56 MB","ENGLISH","Decision Allowing the Oneissi Defence to Add 26 Documents Relating to Ahmed Abu Adass to Its Exhibit List and to Admit Them into Evidence","https://www.stl-tsl.org/crs/index.php/assets/Uploads/20180622-F3697-PUBLIC-TC-Dec-Allow-Oneissi-Add-26-Docs-re-Adass-into-Evid-EN-Web.pdf"
"204","Ayyash et al. (STL-11-01)","Motion","Trial","Trial chamber","Prosecution","22-06-2018","22-06-2018","F3695","STL-11-01/T/TC/F3695/20180622/R310730-R310735/EN/af","English","6","445.14 KB","ENGLISH","Prosecution Motion for Reconsideration of the Abbreviated Timeframe Between the Receipt of Four Oversized Defence Briefs and Closing Arguments","https://www.stl-tsl.org/crs/index.php/assets/Uploads/20180622-F3695-PUBLIC-OTP-Mot-Reconsid-Timeframe-DT-BriefsClose-Argue-EN-Web.pdf"
"205","Ayyash et al. (STL-11-01)","Decision","Trial","Trial chamber","Trial Chamber","22-06-2018","22-06-2018","F3696","STL-11-01/T/TC/F3696/20180622/R310736-R310746/EN/af","English","11","1.01 MB","ENGLISH","Decision Denying Sabra Defence Motion under Rule 165 in Relation to Mr Andrew Donaldson (Witness PRH230)","https://www.stl-tsl.org/crs/index.php/assets/Uploads/20180622-F3696-PUBLIC-TC-Dec-re-Sabra-Mot-R165-PRH230-EN-Web.pdf"
"206","Ayyash et al. (STL-11-01)","Decision","Trial","Trial chamber","Trial Chamber","22-06-2018","24-12-2018","F3696","STL-11-01/T/TC/F3696/20181224/R321695-R321708/EN-FR/dm","English","14","1.23 MB","FRANÇAIS","Decision Denying Sabra Defence Motion under Rule 165 in Relation to Mr Andrew Donaldson (Witness PRH230)","https://www.stl-tsl.org/crs/index.php/assets/Uploads/20181224-F3696-PUBLIC-TC-Dec-re-Sabra-Mot-R165-PRH230-EN-FR-Web.pdf"
"207","Ayyash et al. (STL-11-01)","Decision","Trial","Trial chamber","Trial Chamber","21-06-2018","21-06-2018","F3694","STL-11-01/T/TC/F3694/20180621/R310714-R310720/EN/af","English","7","528.08 KB","ENGLISH","Decision Granting Sabra Defence Motion to Partially Reconsider ‘Decision Partly Granting Seventh Sabra Defence Motion for the Admission of Documents Relating to Ahmed Abu Adass – The ‘Mohammed’ Story’ and Admitting (…)","https://www.stl-tsl.org/crs/index.php/assets/Uploads/20180621-F3694-PUBLIC-TC-Dec-Sabra-Req-Reconsid-Admiss-Call-Table-EN-Web.pdf"
"208","Ayyash et al. (STL-11-01)","Decision","Trial","Trial chamber","Trial Chamber","21-06-2018","29-10-2018","F3694","STL-11-01/T/TC/F3694/20181029/R320815-R320821/EN-FR/dm","English","7","597.42 KB","FRANÇAIS","Decision Granting Sabra Defence Motion to Partially Reconsider ‘Decision Partly Granting Seventh Sabra Defence Motion for the Admission of Documents Relating to Ahmed Abu Adass – The ‘Mohammed’ Story’ and Admitting (…)","https://www.stl-tsl.org/crs/index.php/assets/Uploads/20181029-F3694-PUBLIC-TC-Dec-Sabra-Req-Reconsid-Admiss-Call-Table-EN-FR-Web.pdf"
"209","Ayyash et al. (STL-11-01)","Other","Trial","Trial chamber","Prosecution","20-06-2018","20-06-2018","F3691","STL-11-01/T/TC/F3691/PRV/20180620/R310445-R310449/EN/dm","English","5","370.07 KB","ENGLISH","Public Redacted Version of Prosecution Update regarding PRH024 and PRH028","https://www.stl-tsl.org/crs/index.php/assets/Uploads/20180620-F3691-PUBLIC-PRV-OTP-Update-re-PRH024-028-EN-Web.pdf"
"210","Ayyash et al. (STL-11-01)","Decision","Trial","Trial chamber","Trial Chamber","14-06-2018","14-06-2018","F3690","STL-11-01/T/TC/F3690/20180614/R310422-R310434/EN/af","English","13","1.08 MB","ENGLISH","Decision Dismissing Sabra Defence Application for Disclosure of Material Related to Mr Michael Taylor","https://www.stl-tsl.org/crs/index.php/assets/Uploads/20180614-F3690-PUBLIC-TC-Dec-Sabra-Req-Discl-Material-EN-Web.pdf"
"211","Ayyash et al. (STL-11-01)","Decision","Trial","Trial chamber","Trial Chamber","14-06-2018","18-12-2018","F3690","STL-11-01/T/TC/F3690/20181218/R321670-R321684/EN-FR/af","English","15","526.06 KB","FRANÇAIS","Decision Dismissing Sabra Defence Application for Disclosure of Material Related to Mr Michael Taylor","https://www.stl-tsl.org/crs/index.php/assets/Uploads/20181218-F3690-PUBLIC-TC-Dec-Sabra-Req-Discl-Material-EN-FR-Web.pdf"
"212","Ayyash et al. (STL-11-01)","Decision","Trial","Trial chamber","Trial Chamber","14-06-2018","21-11-2018","F3690","STL-11-01/T/TC/F3690/20181121/R320958-R320971/EN-AR/dm","English","14","5.37 MB","عربي","Decision Dismissing Sabra Defence Application for Disclosure of Material Related to Mr Michael Taylor","https://www.stl-tsl.org/crs/index.php/assets/Uploads/20181121-F3690-PUBLIC-TC-Dec-Sabra-Req-Discl-Material-EN-AR-Web.pdf"
"213","Ayyash et al. (STL-11-01)","Notice / Notification","Trial","Trial chamber","Prosecution","14-06-2018","14-06-2018","F3689","STL-11-01/T/TC/F3689/20180614/R310420-R310421/EN/af","English","2","129.38 KB","ENGLISH","Notification Regarding Exhibit P00662","https://www.stl-tsl.org/crs/index.php/assets/Uploads/20180614-F3689-PUBLIC-OTP-Notifi-re-Exhibit-P00662-EN-Web.pdf"
"214","Ayyash et al. (STL-11-01)","Submission","Trial","Trial chamber","Prosecution","14-06-2018","14-06-2018","F3688","STL-11-01/T/TC/F3688/20180614/R310416-R310419/EN/dm","English","4","249.61 KB","ENGLISH","Prosecution Further Supplementary Submissions regarding “Oneissi Defence Clarifications further to Trial Chamber Oral Request of 7 June 2018”","https://www.stl-tsl.org/crs/index.php/assets/Uploads/20180614-F3688-PUBLIC-OTP-Furt-Supl-Sub-re-Oneissi-Clar-Filed-EN-Web.pdf"
"215","Ayyash et al. (STL-11-01)","Reply / Sur Reply","Trial","Trial chamber","Prosecution","12-06-2018","12-06-2018","F3685","STL-11-01/T/TC/F3685/20180612/R310385-R310389/EN/af","English","5","391.47 KB","ENGLISH","Prosecution Reply to Sabra Defence Response to “Prosecution Motion for Partial Reconsideration of the Decision”","https://www.stl-tsl.org/crs/index.php/assets/Uploads/20180612-F3685-PUBLIC-OTP-Reply-Sabra-Resp-to-Mot-Part-Recons-EN-RECLASS-Web.pdf"
"216","Ayyash et al. (STL-11-01)","Order","Trial","Trial chamber","Trial Chamber","12-06-2018","12-06-2018","F3687","STL-11-01/T/TC/F3687/20180612/R310406-R310412/EN/af","English","7","546.14 KB","ENGLISH","Order Rescheduling Final Trial Briefs and Closing Arguments","https://www.stl-tsl.org/crs/index.php/assets/Uploads/20180612-F3687-PUBLIC-TC-Order-Resched-Trial-Brief-Close-Argue-EN-Web.pdf"
"217","Ayyash et al. (STL-11-01)","Order","Trial","Trial chamber","Trial Chamber","12-06-2018","10-10-2018","F3687","STL-11-01/T/TC/F3687/20181010/R320125-R320131/EN-AR/dm","English","7","3.14 MB","عربي","Order Rescheduling Final Trial Briefs and Closing Arguments","https://www.stl-tsl.org/crs/index.php/assets/Uploads/20181010-F3687-PUBLIC-TC-Order-Resched-Trial-Brief-Close-Argue-EN-AR-Web.pdf"
"218","Ayyash et al. (STL-11-01)","Order","Trial","Trial chamber","Trial Chamber","12-06-2018","07-12-2018","F3687","STL-11-01/T/TC/F3687/20181207/R321608-R321615/EN-FR/dm","English",NA,"NAN","FRANÇAIS","Order Rescheduling Final Trial Briefs and Closing Arguments","https://www.stl-tsl.org/crs/index.php/assets/"
"219","Ayyash et al. (STL-11-01)","Decision","Trial","Trial chamber","Trial Chamber","12-06-2018","06-06-2018","F3686","STL-11-01/T/TC/F3686/20180612/R310396-R310405/EN/af","English","10","789.05 KB","ENGLISH","Decision Dismissing the Prosecution Motion for Reconsideration of the Trial Chamber Decision under Rule 165 to Call Mr Michael Taylor","https://www.stl-tsl.org/crs/index.php/assets/Uploads/20180612-F3686-PUBLIC-TC-Dec-OTP-Reconsid-TC-Dec-R165-EN-Web2.pdf"
"220","Ayyash et al. (STL-11-01)","Decision","Trial","Trial chamber","Trial Chamber","12-06-2018","06-06-2018","F3686","STL-11-01/T/TC/F3686/20180612/R310396-R310405/EN/af","English","10","789.05 KB","ENGLISH","Decision Dismissing the Prosecution Motion for Reconsideration of the Trial Chamber Decision under Rule 165 to Call Mr Michael Taylor","https://www.stl-tsl.org/crs/index.php/assets/Uploads/20180612-F3686-PUBLIC-TC-Dec-OTP-Reconsid-TC-Dec-R165-EN-Web2.pdf"
"221","Ayyash et al. (STL-11-01)","Decision","Trial","Trial chamber","Trial Chamber","12-06-2018","12-03-2019","F3686","STL-11-01/T/TC/F3686/20190312/R322490-R322499/EN-AR/af","English","10","3.84 MB","عربي","Decision Dismissing the Prosecution Motion for Reconsideration of the Trial Chamber Decision under Rule 165 to Call Mr Michael Taylor","https://www.stl-tsl.org/crs/index.php/assets/Uploads/20190312-F3686-PUBLIC-TC-Dec-OTP-Reconsid-TC-Dec-R165-EN-AR-Web.pdf"
"222","Ayyash et al. (STL-11-01)","Other","Trial","Trial chamber","Counsel","08-06-2018","08-06-2018","F3683","STL-11-01/T/TC/F3683/20180608/R310358-R310360/EN/af","English","3","197.37 KB","ENGLISH","Oneissi Defence Clarifications Further to Trial Chamber Oral Request of 7 June 2018","https://www.stl-tsl.org/crs/index.php/assets/Uploads/20180608-F3683-PUBLIC-Oneissi-Clarif-Further-TC-Oral-Req-7June2018-EN-Web.pdf"
"223","Ayyash et al. (STL-11-01)","Other","Trial","Trial chamber","Counsel","08-06-2018","08-06-2018","F3683","STL-11-01/T/TC/F3683/A01/20180608/R310361-R310363/EN/AR/af","English","3","206.84 KB","ANNEX A","Oneissi Defence Clarifications Further to Trial Chamber Oral Request of 7 June 2018","https://www.stl-tsl.org/crs/index.php/assets/Uploads/20180608-F3683-A01-PUBLIC-Oneissi-Clarif-Further-TC-Oral-Req-7June2018-EN-AR-Web.pdf"
"224","Ayyash et al. (STL-11-01)","Other","Trial","Trial chamber","Counsel","08-06-2018","08-06-2018","F3683","STL-11-01/T/TC/F3683/A02/20180608/R310364-R310365/EN/af","English","2","126.65 KB","ANNEX B","Oneissi Defence Clarifications Further to Trial Chamber Oral Request of 7 June 2018","https://www.stl-tsl.org/crs/index.php/assets/Uploads/20180608-F3683-A02-PUBLIC-Oneissi-Clarif-Further-TC-Oral-Req-7June2018-EN-Web.pdf"
"225","Ayyash et al. (STL-11-01)","Response","Trial","Trial chamber","Counsel","07-06-2018","07-06-2018","F3681","STL-11-01/T/TC/F3681/20180607/R310334-R310342/EN/af","English","9","736.77 KB","ENGLISH","Sabra Defence Response to “Prosecution Motion for Partial Reconsideration of the Decision”","https://www.stl-tsl.org/crs/index.php/assets/Uploads/20180607-F3681-PUBLIC-Sabra-Resp-to-Mot-Part-Recons-EN-RECLASS-Web.pdf"
"226","Ayyash et al. (STL-11-01)","Corrigendum","Trial","Trial chamber","Prosecution","06-06-2018","06-06-2018","F3674","STL-11-01/T/TC/F3674/CRG/PRV/20180606/R310269-R310273/EN/dm","English","5","329.89 KB","ENGLISH","Public Redacted Version of Corrigendum and Addendum to “Prosecution Motion for Partial Reconsideration of the Decision”","https://www.stl-tsl.org/crs/index.php/assets/Uploads/20180606-F3674-PUBLIC-PRV-CRG-OTP-Mot-Part-Recons-EN-Web.pdf"
"227","Ayyash et al. (STL-11-01)","Decision","Trial","Trial chamber","Trial Chamber","06-06-2018","06-06-2018","F3680","STL-11-01/T/TC/F3680/20180606/R310274-R310280/EN/af","English","7","562.05 KB","ENGLISH","Decision Clarifying Decision of 30 November 2017 Admitting a UNIIIC Memorandum (Exhibit 5D494) and Denying Prosecution Application for Partial Reconsideration","https://www.stl-tsl.org/crs/index.php/assets/Uploads/20180606-F3680-PUBLIC-TC-Dec-Clarify-Dec-30-Nov-2017-EN-Web.pdf"
"228","Ayyash et al. (STL-11-01)","Decision","Trial","Trial chamber","Trial Chamber","06-06-2018","23-08-2018","F3680","STL-11-01/T/TC/F3680/20180823/R316437-R316443/EN-AR/af","English","7","2.73 MB","عربي","Decision Clarifying Decision of 30 November 2017 Admitting a UNIIIC Memorandum (Exhibit 5D494) and Denying Prosecution Application for Partial Reconsideration","https://www.stl-tsl.org/crs/index.php/assets/Uploads/20180823-F3680-PUBLIC-TC-Dec-Clarify-Dec-30-Nov-2017-EN-AR-Web.pdf"
"229","Ayyash et al. (STL-11-01)","Decision","Trial","Trial chamber","Trial Chamber","06-06-2018","30-01-2019","F3680","STL-11-01/T/TC/F3680/20190130/R322007-R322014/EN-FR/dm","English","8","655.92 KB","FRANÇAIS","Decision Clarifying Decision of 30 November 2017 Admitting a UNIIIC Memorandum (Exhibit 5D494) and Denying Prosecution Application for Partial Reconsideration","https://www.stl-tsl.org/crs/index.php/assets/Uploads/20190212-F3680-PUBLIC-TC-Dec-Clarify-Dec-30-Nov-2017-EN-FR-Web.pdf"
